"id","dz_user_id","dz_artist_id"
"852","61997291","104"
"853","66207311","104"
"854","70756911","104"
"855","88991261","104"
"856","90508671","104"
"857","93555101","104"
"858","104996351","104"
"859","108163291","104"
"860","121803201","104"
"861","131974741","104"
"862","133777653","104"
"863","138672891","104"
"864","188790093","104"
"865","201163405","104"
"866","8736","105"
"867","32292","105"
"868","44351","105"
"869","102879","105"
"870","175246","105"
"871","181249","105"
"872","202705","105"
"873","220468","105"
"874","243719","105"
"876","261354","105"
"877","269293","105"
"878","280457","105"
"879","282718","105"
"881","296386","105"
"882","305320","105"
"883","306651","105"
"884","306829","105"
"885","313406","105"
"886","313718","105"
"887","328502","105"
"888","329808","105"
"890","346028","105"
"891","346184","105"
"892","347023","105"
"893","350130","105"
"894","365581","105"
"895","366256","105"
"896","373603","105"
"897","399752","105"
"898","416904","105"
"899","420869","105"
"900","427164","105"
"902","513738","105"
"903","540152","105"
"905","566270","105"
"906","597007","105"
"907","597181","105"
"908","613881","105"
"909","619677","105"
"910","634073","105"
"912","371851","106"
"913","1174421","106"
"914","1243287","106"
"915","1265095","106"
"916","1281431","106"
"917","1366695","106"
"918","1445095","106"
"919","1508518","106"
"920","1664563","106"
"921","1697258","106"
"922","1762333","106"
"923","2049524","106"
"924","2083220","106"
"925","2100757","106"
"926","2116023","106"
"927","2168880","106"
"928","2285846","106"
"929","2434937","106"
"930","2463173","106"
"931","2477111","106"
"932","2574891","106"
"933","2669087","106"
"934","2716353","106"
"935","2756030","106"
"936","3034143","106"
"937","3054145","106"
"938","3110414","106"
"939","3321333","106"
"940","3639199","106"
"941","3988562","106"
"942","4029950","106"
"943","4056527","106"
"944","4082294","106"
"945","4413600","106"
"946","4423990","106"
"947","4484589","106"
"948","5090886","106"
"949","5259415","106"
"950","5310685","106"
"951","5329721","106"
"952","5489235","106"
"953","5566552","106"
"954","6000171","106"
"955","6137361","106"
"956","6333626","106"
"957","6581290","106"
"958","6692140","106"
"959","6808280","106"
"960","607270","107"
"961","855358","107"
"962","899648","107"
"963","909279","107"
"964","1293597","107"
"965","1500972","107"
"966","1797937","107"
"967","1945489","107"
"968","2265150","107"
"969","2456968","107"
"970","2963733","107"
"971","3136549","107"
"972","3166337","107"
"973","3507436","107"
"974","3941404","107"
"975","4377296","107"
"976","4895260","107"
"977","5006683","107"
"978","5273027","107"
"979","5309170","107"
"980","5464552","107"
"981","5676272","107"
"982","5998363","107"
"983","6177742","107"
"984","6190776","107"
"985","6394336","107"
"986","6805821","107"
"987","6825030","107"
"988","7415983","107"
"989","7997714","107"
"990","8084357","107"
"991","8160658","107"
"992","8264733","107"
"993","8410020","107"
"994","8525630","107"
"995","8939408","107"
"996","9328233","107"
"997","9417230","107"
"998","9576165","107"
"999","9630641","107"
"1000","9704867","107"
"1001","9707235","107"
"1002","9709902","107"
"1003","9943276","107"
"1004","10028198","107"
"1005","10113811","107"
"1006","10157756","107"
"1007","10535263","107"
"1008","10679144","107"
"1009","10774330","107"
"1010","591","108"
"1011","829","108"
"1012","1884","108"
"1013","2211","108"
"1014","2318","108"
"1015","2488","108"
"1016","2529","108"
"1017","2533","108"
"1018","4543","108"
"1019","4600","108"
"1020","4693","108"
"1021","5152","108"
"1022","5369","108"
"1023","5503","108"
"1024","5525","108"
"1025","6642","108"
"1026","7436","108"
"1028","8221","108"
"1029","8658","108"
"1030","9283","108"
"1032","10398","108"
"1033","12450","108"
"1034","12925","108"
"1036","13296","108"
"1037","13346","108"
"1038","20994","108"
"1040","26666","108"
"1041","27210","108"
"1042","27980","108"
"1043","37755","108"
"1044","39690","108"
"1045","40639","108"
"1046","186","109"
"1047","754","109"
"1048","2329","109"
"1049","2383","109"
"1052","2628","109"
"1053","3475","109"
"1054","3724","109"
