"id","gid","male","female"
"192","95bab79d-e5e8-4d7a-9368-d51430763c69","7567","7662"
"193","17b53d9f-5c63-4a09-a593-dde4608e0db9","2276","1657"
"194","d43d12a1-2dc9-4257-a2fd-0a3bb1081b86","23906","14916"
"195","1f43d76f-8edf-44f6-aaf1-b65f05ad9402","17054","14942"
"196","1517c06e-2fe2-452a-981c-b3d9077e0520","10383","7558"
"197","a83ec79e-bcbf-4872-92e5-8c7ca1bb8ff2","9433","8726"
"198","150e799b-3244-45d9-a6cb-5a3e8c33d430","10155","18125"
"199","4849dbcf-4192-434c-825b-077c9057c119","13002","17999"
"200","4d4f5d92-0589-42fa-bc0e-1bd73e17a2ce","7237","4391"
"201","7b3f60c5-5a3e-4045-8bf4-6de8161e2dd6","2969","3407"
"202","5d02f264-e225-41ff-83f7-d9b1f0b1874a","7664","8578"
"203","72d7d717-0837-4f2a-9641-d0f9fdd3acf7","1347","1087"
"204","0796f847-09ca-4526-b17e-44390dd536ba","2458","1175"
"205","056e4f3e-d505-4dad-8ec1-d04f521cbb56","20879","13924"
"206","8538e728-ca0b-4321-b7e5-cff6565dd4c0","18018","21151"
"207","634fe78e-fc6b-4b2a-ba83-c8c66e13a8aa","3468","1598"
"208","2aaf7396-6ab8-40f3-9776-a41c42c8e26b","17165","13582"
"209","03098741-08b3-4dd7-b3f6-1b0bfa2c879c","12053","9405"
"210","664c3e0e-42d8-48c1-b209-1efca19c0325","15619","14219"
"211","c3f28da8-662d-4f09-bdc7-3084bf685930","14120","19336"
"212","d5da1841-9bc8-4813-9f89-11098090148e","6009","3018"
"213","8ac5bea6-3a62-4e28-9df7-03f24d4c06fc","3280","1537"
"214","172e1f1a-504d-4488-b053-6344ba63e6d0","15252","14255"
"215","3ff72a59-f39d-411d-9f93-2d4a86413013","3371","3597"
"216","05517043-ff78-4988-9c22-88c68588ebb9","6399","5209"
"217","fc61dd75-880b-44ba-9ba9-c7b643d33413","12443","5420"
"218","f1106b17-dcbb-45f6-b938-199ccfab50cc","13301","11272"
"219","5a54b72e-bfb3-4ca6-944a-e17261399965","274","88"
"220","230ca093-1d00-4c57-9235-147942f66930","1977","1695"
"221","c8c64bcc-48c6-47c9-8411-f5c4fd5a97bb","3713","3580"
"222","5e6fc227-7ee7-43f6-86e9-4598ac2c0312","2593","2913"
"223","0ca53fff-3b07-49eb-bcb9-bbe84f1ec768","7748","8000"
"224","bf710b71-48e5-4e15-9bd6-96debb2e4e98","15001","16901"
"225","8522b9b6-b295-48d7-9a10-8618fb80beb8","18335","8929"
"226","25a757f1-9fbe-4c52-be2e-1a5294fb25b9","12144","18357"
"227","a2e89940-5dfc-4672-bb52-01b2b99b153f","4485","4066"
"228","eb5f1f04-0174-4534-996f-e8d944ed2a77","7848","13381"
"229","8ed2e0b3-aa4c-4e13-bec3-dc7393ed4d6b","13282","12803"
"230","8c538f11-c141-4588-8ecb-931083524186","16871","18057"
"231","10000730-525f-4ed5-aaa8-92888f060f5f","12202","20076"
"232","3c58bb82-38ef-40c6-889f-8e3d2011eca6","2056","1760"
"233","eb6de5f6-98f8-4b5a-bfdc-f87fa4936baa","18466","7895"
"234","8475297d-fb78-4630-8d74-9b87b6bb7cc8","13454","19175"
"235","a56bd8f9-8ef8-4d63-89a4-794ed1360dd2","15912","11555"
"236","d735497b-25f9-4503-8fb5-f50150730c18","6119","9103"
"237","42555956-bf57-4240-aadf-b58e6762932c","13012","15843"
"238","75a881d8-80de-4f60-b56a-4eaaa29530d9","13237","11960"
"239","db3c0a20-bf05-4b30-ac22-f294aea24172","11285","11725"
