"id","gid","name","gid_similar"
"1881","da9dc521-1f90-47d5-89f9-d51137aa3339","Zooey Deschanel","da9dc521-1f90-47d5-89f9-d51137aa3339"
"1882","5f2e7aab-eb20-469b-ad4a-72deb3eb89e7","Camera Obscura","5f2e7aab-eb20-469b-ad4a-72deb3eb89e7"
"1883","49018fd2-95ef-4f7e-92bb-813159909314","Kate Nash","49018fd2-95ef-4f7e-92bb-813159909314"
"1884","655b3e5b-09e4-45dd-941c-6fa3fc12521b","M. Ward","655b3e5b-09e4-45dd-941c-6fa3fc12521b"
"1885","eaf6a7ca-105d-4a94-ba02-8c3e4040319a","Rilo Kiley","eaf6a7ca-105d-4a94-ba02-8c3e4040319a"
"1886",\N,"Victor Victor Band","0"
"1887",\N,"The Black Jaspers","21f2b1ea-c9b5-4ae4-86e6-aaab52c52303"
"1888",\N,"Headache City","0"
"1889",\N,"Escapades","720f9fc2-1a77-402d-8162-b6bf8be84a1e"
"1890",\N,"The Griefs","0"
"1891","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d"
"1892","f181961b-20f7-459e-89de-920ef03c7ed0","The Strokes","f181961b-20f7-459e-89de-920ef03c7ed0"
"1893","69ac44f7-c80d-47b4-9bc8-fcc758d209e6","Pond","69ac44f7-c80d-47b4-9bc8-fcc758d209e6"
"1894","ada7a83c-e3e1-40f1-93f9-3e73dbc9298a","Arctic Monkeys","ada7a83c-e3e1-40f1-93f9-3e73dbc9298a"
"1895","e0e1a584-dd0a-4bd1-88d1-c4c62895039d","Foster the People","e0e1a584-dd0a-4bd1-88d1-c4c62895039d"
"1896","b5fa29f1-6c22-4321-a488-b5f363b06b06","The Stone Roses","b5fa29f1-6c22-4321-a488-b5f363b06b06"
"1897","01f4fb92-6bf0-4de5-83dc-3fe194e763bf","Happy Mondays","01f4fb92-6bf0-4de5-83dc-3fe194e763bf"
"1898","e788183b-1ca9-4c79-b3fc-78c924dcedcc","The Charlatans","e788183b-1ca9-4c79-b3fc-78c924dcedcc"
"1899","65041e06-83d2-4987-ae52-c17a915fc82a","Spiritualized","65041e06-83d2-4987-ae52-c17a915fc82a"
"1900","e938a15c-b17e-4e7a-9f68-ff0d536cab44","The Jesus and Mary Chain","e938a15c-b17e-4e7a-9f68-ff0d536cab44"
"1901","55c8f303-8c16-4853-bd38-753090fefc54","The Mock Turtles","55c8f303-8c16-4853-bd38-753090fefc54"
"1902",\N,"Mighty Mighty","c2e6b39f-82b2-4ca5-8a1e-97e81a0fbbb7"
"1903",\N,"The Mighty Lemon Drops","1461ef67-5312-4dc1-843e-711bf912217e"
"1904",\N,"The Farm","3eece87b-4e2f-4774-91cd-a7ed5fb0510e"
"1905",\N,"Jesus Jones","f9776598-2689-41db-98d3-829f5510021c"
